"LONO","LO","TIER","LOLEVEL","KUID","KUID_1","KU","KA","MINTIER1","MINTIER2","KACODE","KANAME"
1,"Explain what is meant by best, expected, and worst case behavior of an algorithm.",1,"Familiarity",1,1,"Basic Analysis","AL",2,2,"AL"," Algorithms and Complexity"
2,"In the context of specific algorithms, identify the characteristics of data and/or other conditions or assumptions that lead to different behaviors.",1,"Assessment",1,1,"Basic Analysis","AL",2,2,"AL"," Algorithms and Complexity"
3,"Determine informally the time and space complexity of simple algorithms.",1,"Usage",1,1,"Basic Analysis","AL",2,2,"AL"," Algorithms and Complexity"
4,"State the formal definition of big O.",1,"Familiarity",1,1,"Basic Analysis","AL",2,2,"AL"," Algorithms and Complexity"
5,"List and contrast standard complexity classes.",1,"Familiarity",1,1,"Basic Analysis","AL",2,2,"AL"," Algorithms and Complexity"
6,"Perform empirical studies to validate hypotheses about runtime stemming from mathematical analysis  Run algorithms on input of various sizes and compare performance.",1,"Assessment",1,1,"Basic Analysis","AL",2,2,"AL"," Algorithms and Complexity"
7,"Give examples that illustrate time-space trade-offs of algorithms.",1,"Familiarity",1,1,"Basic Analysis","AL",2,2,"AL"," Algorithms and Complexity"
8,"Use big O notation formally to give asymptotic upper bounds on time and space complexity of algorithms.",2,"Usage",1,1,"Basic Analysis","AL",2,2,"AL"," Algorithms and Complexity"
9,"Use big O notation formally to give expected case bounds on time complexity of algorithms.",2,"Usage",1,1,"Basic Analysis","AL",2,2,"AL"," Algorithms and Complexity"
10,"Explain the use of big omega, big theta, and little o notation to describe the amount of work done by an algorithm.",2,"Familiarity",1,1,"Basic Analysis","AL",2,2,"AL"," Algorithms and Complexity"
11,"Use recurrence relations to determine the time complexity of recursively defined algorithms.",2,"Usage",1,1,"Basic Analysis","AL",2,2,"AL"," Algorithms and Complexity"
12,"Solve elementary recurrence relations, eg, using some form of a Master Theorem.",2,"Usage",1,1,"Basic Analysis","AL",2,2,"AL"," Algorithms and Complexity"
1,"For each of the strategies (brute-force, greedy, divide-and-conquer, recursive backtracking, and dynamic programming), identify a practical example to which it would apply.",1,"Familiarity",2,2,"Algorithmic Strategies","AL",5,1,"AL"," Algorithms and Complexity"
2,"Use a greedy approach to solve an appropriate problem and determine if the greedy rule chosen leads to an optimal solution.",1,"Assessment",2,2,"Algorithmic Strategies","AL",5,1,"AL"," Algorithms and Complexity"
3,"Use a divide-and-conquer algorithm to solve an appropriate problem.",1,"Usage",2,2,"Algorithmic Strategies","AL",5,1,"AL"," Algorithms and Complexity"
4,"Use recursive backtracking to solve a problem such as navigating a maze.",1,"Usage",2,2,"Algorithmic Strategies","AL",5,1,"AL"," Algorithms and Complexity"
5,"Use dynamic programming to solve an appropriate problem.",1,"Usage",2,2,"Algorithmic Strategies","AL",5,1,"AL"," Algorithms and Complexity"
6,"Determine an appropriate algorithmic approach to a problem.",1,"Assessment",2,2,"Algorithmic Strategies","AL",5,1,"AL"," Algorithms and Complexity"
7,"Describe various heuristic problem-solving methods.",2,"Familiarity",2,2,"Algorithmic Strategies","AL",5,1,"AL"," Algorithms and Complexity"
8,"Use a heuristic approach to solve an appropriate problem.",2,"Usage",2,2,"Algorithmic Strategies","AL",5,1,"AL"," Algorithms and Complexity"
9,"Describe the trade-offs between brute force and heuristic strategies.",2,"Assessment",2,2,"Algorithmic Strategies","AL",5,1,"AL"," Algorithms and Complexity"
10,"Describe how a branch-and-bound approach may be used to improve the performance of a heuristic method.",2,"Familiarity",2,2,"Algorithmic Strategies","AL",5,1,"AL"," Algorithms and Complexity"
1,"Implement basic numerical algorithms.",1,"Usage",3,3,"Fundamental Data Structures and Algorithms","AL",9,3,"AL"," Algorithms and Complexity"
2,"Implement simple search algorithms and explain the differences in their time complexities.",1,"Assessment",3,3,"Fundamental Data Structures and Algorithms","AL",9,3,"AL"," Algorithms and Complexity"
